Unnamed: 0,baseMean,log2FoldChange,pvalue,padj
ANKRD1,21.706446919025588,-1.5695534682565404,3.067490583949406e-13,8.042526452131522e-13
TTC24,6.773071963699111,-1.5811063340953502,3.077911956573892e-13,8.068670876371353e-13
SH3GL2,26.2342829354223,-1.6962966832802278,3.4556268885345093e-13,9.02981926428764e-13
BLK,45.810814367509344,-1.5652568796049455,3.662893447780446e-13,9.557504729820027e-13
NAT2,27.070559841132244,-1.5312322851244589,3.802960578506273e-13,9.9157693433183e-13
RIMS1,129.28456975979014,-1.570515827477043,4.289297380862267e-13,1.1154659739448192e-12
LINC01606,8.638989221803461,-3.440480060165421,4.57763018837834e-13,1.1885544219398196e-12
ABCG8,2.622260791211286,1.7357247133026628,4.60345804362241e-13,1.1950875453524382e-12
LINC00165,3.337961810424824,1.6617943224342584,4.903283891566957e-13,1.2712689806426454e-12
C7orf57,6.757917015589037,-1.858311046944653,5.083319110308087e-13,1.3171852435432249e-12
CHRNB4,10.77320773519882,-1.6003933683511251,5.142453819291854e-13,1.331935366541377e-12
VCX,4.958623225589932,-2.9762683034227697,5.240537185637531e-13,1.3567479333296765e-12
RBM24,395.37389686216,-1.5908498291366728,5.609884658566189e-13,1.4496510701801797e-12
CYP2A6,583.4952978706457,-2.372910810945964,5.962370901193512e-13,1.538300265291393e-12
OR7C1,3.175987859697812,1.539184141629407,5.972853644435888e-13,1.5407832920609197e-12
MAT1A,90.2329682661981,-1.5781205395591529,6.301229457958251e-13,1.6240916603505148e-12
PTGS2,318.1994292962342,1.5433827929828785,6.538856348460744e-13,1.684370346206999e-12
PRSS33,22.40663685980613,-3.291189243260931,7.123629877783829e-13,1.8313239903574936e-12
IGSF23,4.721494869283151,-2.224703498185829,7.647668601883107e-13,1.9623876074959312e-12
CSTL1,1.703734375804989,-2.687788713326771,8.720283808394918e-13,2.2318752340299297e-12
