sample/cell_type,B-cells,CAFs,Cancer Epithelial,Endothelial,Myeloid,Normal Epithelial,PVL,Plasmablasts,T-cells
TCGA-A2-A0EN-01A-13R-A084-07,0.0542569002000884,0.3330023123556887,0.0567529382930359,0.1265235049723316,0.12643201442421,0.0032384027432818,0.0506258458835193,0.0,0.249168081127844
TCGA-E9-A1RD-01A-11R-A157-07,0.0153426211097422,0.2786729963832594,0.3014900792436195,0.2359765912765133,0.096270018164117,0.0,0.0398810387643476,0.0149060994077841,0.0174605556506167
TCGA-A8-A08O-01A-21R-A056-07,0.0257710263314064,0.5117955153210558,0.1549440337622509,0.0702339319555254,0.0357012286083871,0.1242121135579455,0.0576845382640819,0.0011108530289922,0.0185467591703547
TCGA-AC-A2FE-01A-11R-A19W-07,0.0099651927079967,0.3265892780599008,0.0827660955331402,0.09754007369889,0.1025231725736377,0.0149649039297356,0.0341612303649389,0.0,0.3314900531317597
TCGA-B6-A0RN-01A-12R-A084-07,0.0205999379765223,0.5764302747089688,0.276303672470954,0.0595652061639804,0.0296539066877189,0.0,0.0241863955911727,0.0,0.0132606064006826
TCGA-A8-A076-01A-21R-A00Z-07,0.0065756378286447,0.4607748132289945,0.3009528720304023,0.0471767117880454,0.1077904444343425,0.0,0.0159269348932656,0.0242597961524868,0.0365427896438181
TCGA-BH-A0HK-01A-11R-A056-07,0.018148223132541,0.2517080165859422,0.2123194210213171,0.1872321949877246,0.0671023900807133,0.1600090909208103,0.0487013897959826,0.0102263015317695,0.0445529719431991
TCGA-BH-A0BO-01A-23R-A12D-07,0.0104470503243502,0.3347622652532482,0.0,0.2153714690762799,0.1019616820122446,0.259363709764671,0.0433433307142592,0.0034331826252307,0.031317310229716
TCGA-BH-A0HW-01A-11R-A034-07,0.005670812949912,0.0374096948395912,0.5200992683109416,0.132284514707255,0.0257969913625432,0.0,0.2787387178297568,0.0,0.0
TCGA-D8-A1XZ-01A-11R-A14M-07,0.0275919801038185,0.3450072755233517,0.2336961714967393,0.0446515275598466,0.1150003578656536,0.0,0.0641389339933714,0.0483574351328834,0.1215563183243349
TCGA-OL-A66K-01A-11R-A29R-07,0.024138588188749,0.4635236823554255,0.2752056815446355,0.0932650169057548,0.0523727316933553,0.0258098732654677,0.042239882665564,0.0029761564239277,0.0204683869571202
TCGA-AR-A24N-01A-11R-A169-07,0.0042587222112913,0.3767682937622552,0.2678225315255702,0.1132505826422882,0.0514525541913093,0.0418494954270222,0.0561166383392015,0.0541423042385467,0.0343388776625153
TCGA-E2-A1IU-01A-11R-A14D-07,0.1197952107867646,0.1334559467393794,0.2501154698821451,0.1373183089997289,0.0723591239992745,0.1384081511890785,0.043873901186143,0.0502803500847141,0.0543935371327714
TCGA-AR-A0TT-01A-31R-A084-07,0.1097016600857314,0.1985033118985156,0.0454068291283263,0.0498016001834683,0.1663130110402332,0.0,0.0189410095557419,0.0602737581704804,0.3510588199375025
TCGA-B6-A0IP-01A-11R-A034-07,0.2080825481481673,0.2368686647396391,0.2585248713563909,0.0725392793261699,0.0359557444536331,0.09555467613096,0.0260038811220764,0.0,0.0664703347229631
TCGA-AO-A03L-01A-41R-A056-07,0.0136032485406174,0.4284076960252433,0.219474067646177,0.0540746158232266,0.0705537099448522,0.0551298769183521,0.0266359965373076,0.0373094871242154,0.0948113014400079
TCGA-B6-A0IB-01A-11R-A034-07,0.0011329795409972,0.1540654292913952,0.6416812442313226,0.1600383291864633,0.0138088898814395,0.0,0.029273127868382,0.0,0.0
TCGA-E9-A54Y-01A-11R-A466-07,0.0298002449989664,0.0230549858963352,0.8362012721853538,0.0680691549347533,0.0220258519302449,0.0,0.0208484900543462,0.0,0.0
