gene_id,baseMean,log2FoldChange,pvalue,padj,symbol
ENSG00000077157.21,378050.89992550324,1.980806007378886,1.5408103237449287e-48,1.5709261618908523e-46,ENSG00000077157.21
ENSG00000168477.17,351083.6967536603,3.7677912322388045,2.5612810538081208e-48,2.596589109013159e-46,ENSG00000168477.17
ENSG00000258227.6,37447.6874093662,-3.2524443027892773,3.051704504460808e-48,3.076392451013749e-46,ENSG00000258227.6
ENSG00000258947.6,270952.3514890417,-3.8580825684713917,3.738163464933195e-48,3.7473522466347066e-46,ENSG00000258947.6
ENSG00000164330.16,105838.1063406208,2.6940524140059168,3.823712443918439e-48,3.811816449648471e-46,ENSG00000164330.16
ENSG00000101115.12,20609.72665056884,-3.181814744066061,4.4639807763850504e-48,4.425506687925599e-46,ENSG00000101115.12
ENSG00000278023.5,5547.533838471629,-3.1809228592213645,9.617446367674558e-48,9.48216800118419e-46,ENSG00000278023.5
ENSG00000051341.13,50218.08328424088,-2.7559138101025207,9.845456815035037e-48,9.653927709780804e-46,ENSG00000051341.13
ENSG00000103495.13,1491617.4389468997,-1.5328184983792306,1.0509499945354831e-47,1.0249047120622125e-45,ENSG00000103495.13
ENSG00000170369.3,18328.368454378997,-4.979729135862147,1.2115666344020551e-47,1.1751541452816474e-45,ENSG00000170369.3
ENSG00000198937.8,91908.28248249822,-2.0111046013248868,1.4323794961462456e-47,1.3818611655294748e-45,ENSG00000198937.8
ENSG00000138640.14,169845.9282581999,2.1091847180600314,1.5277451376015551e-47,1.465981751289963e-45,ENSG00000138640.14
ENSG00000180354.15,337857.9535274293,2.2365575444260606,1.6254675546592368e-47,1.5514569042981565e-45,ENSG00000180354.15
ENSG00000165124.17,263269.6620382324,3.1919318870444005,7.911556116097607e-47,7.511373700912988e-45,ENSG00000165124.17
ENSG00000177234.7,2194.523711789152,-5.3130920243346695,8.077183112240055e-47,7.628261777159766e-45,ENSG00000177234.7
ENSG00000145708.10,4952.776417133677,3.365582295915829,8.431911564203876e-47,7.921582256967243e-45,ENSG00000145708.10
ENSG00000151725.11,155637.29403936438,-2.208823782637148,8.532586775211697e-47,7.974413390333264e-45,ENSG00000151725.11
ENSG00000085999.11,60849.62456331966,-2.4853947805076833,1.0640002750578447e-46,9.892446080641433e-45,ENSG00000085999.11
ENSG00000115414.18,26007406.664382484,-2.9245247002998007,1.3958246356093515e-46,1.291065838215165e-44,ENSG00000115414.18
ENSG00000109805.9,140441.18608103562,-2.3415945806531395,1.6564928459326028e-46,1.5243132116622884e-44,ENSG00000109805.9
ENSG00000162407.8,451933.0720452491,1.8289160493729104,2.273991760175693e-46,2.0818626604383997e-44,ENSG00000162407.8
ENSG00000182492.15,4044840.8314130106,-2.3735945972063988,6.684344074875193e-46,6.088521323835557e-44,ENSG00000182492.15
ENSG00000104889.5,184442.94206502516,-1.8755745745777614,1.0011624748748184e-45,9.073161337956437e-44,ENSG00000104889.5
ENSG00000145386.9,157282.5561950825,-2.4771967045737653,1.1121045981944049e-45,1.0027942165829349e-43,ENSG00000145386.9
ENSG00000154736.5,140199.59220105875,2.875212579308897,1.4187708010571468e-45,1.2665882216004698e-43,ENSG00000154736.5
ENSG00000154258.16,58014.36503503657,3.581971317600611,1.5198863632120855e-45,1.3501406386870129e-43,ENSG00000154258.16
ENSG00000266964.5,30811.263221974135,3.5538786528278528,3.3180905781524075e-45,2.918618496782686e-43,ENSG00000266964.5
ENSG00000162063.12,171450.7353428018,-1.7871644219957943,3.3041140368849613e-45,2.918618496782686e-43,ENSG00000162063.12
ENSG00000004776.12,225987.93446855753,3.966984463412525,4.3308610216978733e-45,3.790410509032685e-43,ENSG00000004776.12
ENSG00000188322.4,226773.36543726537,-2.3678194710827736,4.3514521002047103e-45,3.790410509032685e-43,ENSG00000188322.4
ENSG00000161800.12,276586.5102337578,-2.021067273597805,4.433532467816949e-45,3.843251526691175e-43,ENSG00000161800.12
ENSG00000185010.13,131894.29957456517,1.6731838383014883,4.5243366788279834e-45,3.903110450235064e-43,ENSG00000185010.13
ENSG00000094804.9,181434.45111240973,-3.268901136607471,5.232857453515266e-45,4.492746131381719e-43,ENSG00000094804.9
ENSG00000215784.5,17378.27485461281,-2.9461719696459925,5.933049771485787e-45,5.069649766644808e-43,ENSG00000215784.5
ENSG00000135424.15,147303.5424714736,3.109227435518412,8.040619136653373e-45,6.837955914128347e-43,ENSG00000135424.15
ENSG00000171227.6,82761.20281700495,2.635023015798456,8.484538435919312e-45,7.181441400666799e-43,ENSG00000171227.6
ENSG00000227467.3,2560.590816767832,3.626500910960385,1.2729757563898236e-44,1.0724073696084035e-42,ENSG00000227467.3
ENSG00000182782.7,24148.128636500172,3.045292389497197,1.4552457358282495e-44,1.2202303497057061e-42,ENSG00000182782.7
ENSG00000184661.13,60821.88654493534,-3.1914655317724963,2.0003769232690277e-44,1.6695238842390432e-42,ENSG00000184661.13
ENSG00000118596.11,62782.17704833585,2.836552304083343,2.2782905972549036e-44,1.875304884272568e-42,ENSG00000118596.11
ENSG00000163513.17,796601.8969921169,2.1243557487656517,2.277836654892838e-44,1.875304884272568e-42,ENSG00000163513.17
ENSG00000174804.3,455076.0841411744,2.2009736738395347,2.376690530390649e-44,1.9473668893757904e-42,ENSG00000174804.3
ENSG00000068976.13,8636.202543867776,2.7204292137009,3.2724175564914823e-44,2.6691027560765072e-42,ENSG00000068976.13
ENSG00000069011.15,194612.92056031033,-4.083668952879351,4.771296038069281e-44,3.856582707527711e-42,ENSG00000069011.15
ENSG00000122966.15,134734.4222328269,-2.073746181237075,4.922268737511236e-44,3.960770862148055e-42,ENSG00000122966.15
ENSG00000127588.4,5027.6167088089,-4.710490222417381,7.838517471194974e-44,6.27921238853226e-42,ENSG00000127588.4
ENSG00000154263.17,21142.375412926656,3.4889007547782884,8.346187425475869e-44,6.656177207232845e-42,ENSG00000154263.17
ENSG00000147434.8,4239.372465101619,-4.285173131679408,1.0242484521474295e-43,8.132351427138706e-42,ENSG00000147434.8
ENSG00000071539.13,118955.58341857798,-2.5794671748334745,1.3741310898997053e-43,1.0862294395224806e-41,ENSG00000071539.13
ENSG00000163431.12,212557.65677860842,2.6534751761874724,1.3938117804286435e-43,1.0969543240355957e-41,ENSG00000163431.12
ENSG00000153902.13,20539.769425711456,2.3210105674311237,1.4350318015092428e-43,1.1244633469992075e-41,ENSG00000153902.13
ENSG00000164109.13,136476.06148045365,-2.262942437416962,1.5601375644120538e-43,1.2171786285134737e-41,ENSG00000164109.13
ENSG00000128564.6,6637.719014664182,-5.369864091045286,1.8658095750054647e-43,1.449354416186063e-41,ENSG00000128564.6
ENSG00000133466.13,242906.90734984292,-2.1485784289789445,1.959518697961039e-43,1.515586358457452e-41,ENSG00000133466.13
ENSG00000187824.8,23587.903961600707,2.082883552517997,2.0023829047680242e-43,1.5420926542127653e-41,ENSG00000187824.8
ENSG00000131650.13,21211.94867335653,-4.007494940302409,2.0357981045452856e-43,1.561126546494043e-41,ENSG00000131650.13
ENSG00000102384.13,35329.18873106013,-2.418949283756805,2.1379877689692134e-43,1.6325128734631306e-41,ENSG00000102384.13
ENSG00000105971.14,251975.94420528837,2.4852362148809157,3.438943512555746e-43,2.614762813105945e-41,ENSG00000105971.14
ENSG00000101441.4,26859.85063580251,-6.2844247078860995,3.813160877988403e-43,2.887061552515777e-41,ENSG00000101441.4
ENSG00000121621.6,51220.61540960552,-2.457657386205807,4.5357152492210294e-43,3.4197006063874855e-41,ENSG00000121621.6
ENSG00000121211.7,22333.337855646965,-2.8371951914402014,5.0636165787298996e-43,3.8017379032941133e-41,ENSG00000121211.7
ENSG00000007314.12,18026.789089341113,3.2032715132180063,6.103584295455865e-43,4.5634465249025017e-41,ENSG00000007314.12
ENSG00000132182.11,737082.742284607,-1.7693075032599448,8.806740496134682e-43,6.557184707993392e-41,ENSG00000132182.11
ENSG00000160606.10,72405.6479106391,-2.44653610217365,9.604934767861736e-43,7.121940060930206e-41,ENSG00000160606.10
ENSG00000164932.12,508611.1409795657,-2.419256868056887,1.0540727239807378e-42,7.783654715683275e-41,ENSG00000164932.12
ENSG00000127920.5,177767.0928465331,2.0320578978913377,1.1524392463491906e-42,8.440559116934642e-41,ENSG00000127920.5
ENSG00000182481.8,935767.5605104923,-2.301239095511187,1.807847018700529e-42,1.3186994676244833e-40,ENSG00000182481.8
ENSG00000163993.6,289615.99332291435,-4.8987559047381835,2.637912020349607e-42,1.9086569876271513e-40,ENSG00000163993.6
ENSG00000165410.14,114219.0314205936,1.5685142373294334,2.920366841980588e-42,2.1045406671686613e-40,ENSG00000165410.14
ENSG00000263513.5,21404.639210967536,-2.8291317406944194,3.574910711605702e-42,2.555705091994132e-40,ENSG00000263513.5
ENSG00000132170.19,88862.34383422954,2.871988378737063,4.128547805580554e-42,2.9397881675927562e-40,ENSG00000132170.19
ENSG00000010319.6,214158.87700551582,2.699308194013716,6.008138588703103e-42,4.244489717940491e-40,ENSG00000010319.6
ENSG00000131187.9,47402.81234090078,-2.9107617550840237,6.447549513100297e-42,4.5370520965910484e-40,ENSG00000131187.9
ENSG00000111602.11,293797.7256876628,-1.5987361534893094,7.657437111659417e-42,5.367384825453773e-40,ENSG00000111602.11
ENSG00000162733.16,454172.2741480333,2.3465336261208454,8.110379670160222e-42,5.662749136239494e-40,ENSG00000162733.16
ENSG00000029993.14,445010.0482712892,-2.453454029695715,1.355874485390727e-41,9.430159599167134e-40,ENSG00000029993.14
ENSG00000069122.18,256584.94490092187,1.845892533873209,1.436307694393757e-41,9.951005895058525e-40,ENSG00000069122.18
ENSG00000121691.4,585429.8684939063,1.656045739333614,1.6183522920058395e-41,1.1169120587597224e-39,ENSG00000121691.4
ENSG00000167513.8,95842.73348977446,-2.65499230447501,1.8406089204847356e-41,1.2654362631869001e-39,ENSG00000167513.8
ENSG00000115163.14,54354.50441135847,-2.3030572621049803,4.5028429719820527e-41,3.072205866511253e-39,ENSG00000115163.14
ENSG00000179546.4,7292.832070377636,-4.082048425654812,4.925161537027824e-41,3.3476173719858815e-39,ENSG00000179546.4
ENSG00000108381.10,12794.189955407855,3.2125343783161244,5.860440493525517e-41,3.968292234559316e-39,ENSG00000108381.10
ENSG00000114698.14,149185.85474675003,2.010764152914132,8.083382682285415e-41,5.4529405583056206e-39,ENSG00000114698.14
ENSG00000254986.7,403110.50851326226,-1.6411931908160395,9.189040582989992e-41,6.175585925886608e-39,ENSG00000254986.7
ENSG00000154133.14,144466.38090371076,1.7964837291456357,1.0635335882881713e-40,7.12091295083692e-39,ENSG00000154133.14
ENSG00000106327.12,19624.490580185135,-3.3395549075638016,1.1459056717532113e-40,7.643915008899488e-39,ENSG00000106327.12
ENSG00000197472.14,21287.46997257217,-3.3378167254419537,1.3702527178092301e-40,9.106598062358824e-39,ENSG00000197472.14
ENSG00000160949.16,135444.24262020667,-2.194463803992827,1.4978922628815166e-40,9.918147145810308e-39,ENSG00000160949.16
ENSG00000170262.12,35728.116353499136,2.0083760487905287,2.524930451943213e-40,1.6596099644567403e-38,ENSG00000170262.12
ENSG00000173208.3,16709.37367468165,3.476182337051136,3.117072686349593e-40,2.0413413242283613e-38,ENSG00000173208.3
ENSG00000131386.17,103530.40489197226,3.1108256572490136,3.6275479615771433e-40,2.367008022637828e-38,ENSG00000131386.17
ENSG00000103888.16,120739.33580465511,-3.3902794207048,1.1038595826559678e-39,7.150778466129489e-38,ENSG00000103888.16
ENSG00000175305.17,123538.25026063563,-2.3050344970035606,1.8190939293984822e-39,1.1741662398966317e-37,ENSG00000175305.17
ENSG00000135917.13,76576.7509004911,4.63171802287489,2.0645404996202677e-39,1.323075525899503e-37,ENSG00000135917.13
ENSG00000072163.19,131604.66184509496,1.977199416415398,2.0642887927528698e-39,1.323075525899503e-37,ENSG00000072163.19
ENSG00000107731.12,431960.7141673929,-1.9971033203320248,2.1721718208949265e-39,1.3870979058412298e-37,ENSG00000107731.12
ENSG00000132837.14,10453.351487539443,2.4067965336636226,2.4741902936072706e-39,1.5743571144854207e-37,ENSG00000132837.14
ENSG00000074276.10,5233.708765789437,-2.331919492599817,2.5057243171649966e-39,1.588788591774159e-37,ENSG00000074276.10
ENSG00000130520.10,557820.43528642,-1.5227314461306722,3.2116299273237066e-39,2.0220872777507577e-37,ENSG00000130520.10
ENSG00000137463.4,3004.429216573391,2.458795759887166,3.297921256336395e-39,2.0691573085209882e-37,ENSG00000137463.4
ENSG00000154721.14,119596.38586133152,2.0516321945974343,3.5178260167706926e-39,2.199437980659697e-37,ENSG00000154721.14
ENSG00000144485.10,50570.726472148206,-2.949512091269144,3.830285406339449e-39,2.3864806017831626e-37,ENSG00000144485.10
ENSG00000180914.10,219366.90871639928,3.9720595933002456,4.2486562395113234e-39,2.6379891889893146e-37,ENSG00000180914.10
ENSG00000188610.12,22610.339637331283,-2.6275638040347404,4.367709367568953e-39,2.7025578238502516e-37,ENSG00000188610.12
ENSG00000177363.4,21672.916070263876,3.3204778670365447,4.397583906617455e-39,2.711692289358887e-37,ENSG00000177363.4
ENSG00000130176.7,219422.80506235443,3.162396806225567,4.9226142409299124e-39,3.0250476006591214e-37,ENSG00000130176.7
ENSG00000169291.9,67678.19590683357,2.0964053405331176,6.6240604946088e-39,4.042929983512255e-37,ENSG00000169291.9
ENSG00000123689.5,144765.48356944398,3.7640728501409617,6.66390206956321e-39,4.053459618177703e-37,ENSG00000123689.5
ENSG00000184347.14,418198.38640098576,2.3660868416106693,7.218511818344901e-39,4.375978921229084e-37,ENSG00000184347.14
ENSG00000146966.12,49997.2881363955,1.5836238638674713,8.56901312889551e-39,5.177184228447847e-37,ENSG00000146966.12
ENSG00000137960.5,15150.451673867005,2.625330410215155,8.651518638526152e-39,5.2094916258293045e-37,ENSG00000137960.5
ENSG00000158571.10,11657.454659487748,3.0863648402757144,1.337743449478556e-38,8.02825032021512e-37,ENSG00000158571.10
ENSG00000265972.5,3994916.8606577935,1.9289300080032434,1.640975023566519e-38,9.815218607625872e-37,ENSG00000265972.5
